Codigo interno ,Chemical Name,,NETO ,TARA ,BRUTO
VAR-QB00044,COLOR AMARILLO ACIDO 73 (LIMPIADORES) FOSFORECENTE,,0.5,0.075,0.575
VAR-QB00052,COLOR AZUL TURQUESA DIRECTO 86 (LIMPIADORES),,1,0.35,1.035
VAR-QB00051,COLOR AZUL BASICO,,,,
VAR-QB00057,COLOR ROJO 114 ,,,,
VAR-QB00063,"COLOR VERDE 10 PAMACID (SUAVIZANTE, SHAMPOO) ",,,,
VAR-QB00067,COLOR VIOLETA REACTIVO XXV-VL(LIMPIADORES),,,,
VAR-QB00048,COLOR AMARILLO METANILO 36 (SUAVIZANTE),,,,
VAR-QB00056,"COLOR RODAMINA BASICA ( JABON LIQ,LIMPIADORES)",,,,
VAR-QB00043,COLOR AMARILLO 5 P/GEL,,,,
VAR-QB00042,COLOR AMARILLO .6 P/GEL,,,,
VAR-QB00064,COLOR VERDE LIMON GEL (ESMERALDA),,,,
VAR-QB00065,COLOR VERDE PINO (LIMPIADOR DE PINO),,,,
VAR-QB00053,COLOR DC GREEN No8 (GEL FOSFORECENTE),,,,
VAR-QB00060,COLOR ROJO NO. 5 GEL,,,,
VAR-QB00054,COLOR NEGRO ACIDO 194,,,,
VAR-QB00049,COLOR AZUL ACIDO 324 (SUAVIZANTE),,,,
VAR-QB00193,COLOR VIOLETA D&C MATIZADO,,,,
VAR-QB00058,"COLOR ROJO ACIDO 52 (ROSA) (LIMPIADORES, QUITA SARRO)",,,,
VAR-QB00050,COLOR AZUL AL ACEITE (ACEITE MOPS),,,,
VAR-QB00045,COLOR AMARILLO AL ACEITE SOLVENTE S/P,,,,
VAR-QB00061,COLOR ROJO NO. 6 GEL,,,,
VAR-QB00046,COLOR AMARILLO AL ACEITE,,,,
VAR-QB00059,COLOR ROJO AL ACEITE,,,,
VAR-QB00047,COLOR AMARILLO BASICO PARA CLORO S/P,,,,
