Codigo interno ,Chemical Name,,NETO ,TARA ,BRUTO,,
IFF-QB00007,DSM 1024 LAVANDA,,0.5,0.09,0.59,,
IFF-QB00008,DSM 1034 MAR FRESCO,,1,0.09,1.09,,
IFF-QB00009,DSM 1068 (EUCALIPTO),,2,0.24,2.24,,
IFF-QB00044,DSM 1007 TERSO BEBE,,3,0.24,3.24,,
IFF-QB00045,DSM 1020 EXIT PRADE ,,4,0.24,4.24,,
IFF-QB00201,LITTLE BABY CAP 420,,5,0.28,5.28,,
IFF-QB00040,CATERPILLAR 054,,6,0.48,6.48,,
IFF-QB00055,HAPPY 360,,7,0.48,7.48,,
IFF-QB00038,BLUE SKY 270,,8,0.48,8.48,,
IFF-QB00073,BAMBOO BOO 664,,9,0.48,9.48,,
IFF-QB00207,DSM 1063 (ACE),,10,0.48,10.48,,
IFF-QB00290,DSM 1082 FAB PASION FRUTAL,,11,0.9,11.9,,
IFF-QB00173,FF-SMT 1023 MEN,,12,0.9,12.9,,
IFF-QB00182,CALVAN 1-150 ,,13,0.9,13.9,,30kg 2 de 15kg
IFF-QB00180,BOSS 3023 (ACQUA DI GIO) ,,14,0.9,14.9,,40kg 2 de 20kg
IFF-QB00189,FF SMT 1059 KA,,15,0.9,15.9,,100kg 2 de 100kg
IFF-QB00185,FF SMT1055 DEUPHORIA BLOSS,,16,0.9,16.9,,
IFF-QB00190,FF SMT 1047 DKENZO F.,,17,0.9,17.9,,
IFF-QB00175,DAMOR DAMOR FFSMT1057,,18,0.9,18.9,,
IFF-QB00192,FFSMT1052  DPACIFIC P.,,19,0.9,19.9,,
IFF-QB00184,CIC 0441 HB,,20,0.9,20.9,,
IFF-QB00177,FF SMT 1028 HARMANY,,50,2.2,52.2,,
IFF-QB00194,SPORTIVO 971 ,,,,,,
IFF-QB00191,MEN 500,,,,,,
IFF-QB00186,FITNESS 248,,,,,,
IFF-QB00014,FRUITY MIX 327,,,,,,
IFF-QB00003,CITRIC TWIST 592 ,,,,,,
IFF-QB00018,LAVANDA 347,,,,,,
IFF-QB00302,SER 1011 (LAVANDA) ,,,,,,
IFF-QB00019,LAVENDER SKY 099 MOD,,,,,,
IFF-QB00020,LAVENDER TOUCH 830,,,,,,
IFF-QB00030,SEA FRESH 652,,,,,,
IFF-QB00032,SEA FRESH 820 (MARINE 667-W),,,,,,
IFF-QB00031,SEA FRESH 704,,,,,,
IFF-QB00025,MARINE LOVE 818,,,,,,
IFF-QB00011,FLORAL 001-E MOD,,,,,,
IFF-QB00012,FLORAL 841,,,,,,
IFF-QB00010,FLORAL (PICCOLO 727),,,,,,
IFF-QB00013,FLORAL P 0830,,,,,,
IFF-QB00214,SER 1054 (DETERG. LIQ.),,,,,,
IFF-QB00209,MAX FRESCURA 777 ,,,,,,
IFF-QB00116,TE VERDE SMT 1039,,,,,,
IFF-QB00109,SPICY LOVE 456 ,,,,,,
IFF-QB00075,BOSQUE 904-A,,,,,,
IFF-QB00091,FOUGERE 087 (DRAKKAR),,,,,,
IFF-QB00092,FOUGERE 959-A (DRAKKAR),,,,,,
IFF-QB00076,BOSS 3117 (NATURAL COCONUT),,,,,,
IFF-QB00077,BOSS 3156 (TALK),,,,,,
IFF-QB00079,CHA 251,,,,,,
IFF-QB00089,ETERN 0021,,,,,,
IFF-QB00072,APPLE 930,,,,,,
IFF-QB00081,CHERRY 697,,,,,,
IFF-QB00103,PEACH 299 MOD,,,,,,
IFF-QB00093,FRESA 80,,,,,,
IFF-QB00117,TROPIC ICE M1210 ,,,,,,
IFF-QB00071,SOFT BABY 611,,,,,,
IFF-QB00101,MNO-015G (CAR. HERR.),,,,,,
IFF-QB00087,COCO 120-A,,,,,,
IFF-QB00119,UVA AIR 814 ,,,,,,
IFF-QB00084,CHOCOLAT MOD ,,,,,,
IFF-QB00082,CHIRSTMAS GINGERAPPLE 712 FV ,,,,,,
IFF-QB00120,VELAQUIM 4 (CANELA) FV,,,,,,
IFF-QB00083,CHIRSTMAS VELAQUIM 53 (VAINILLA) FV,,,,,,
IFF-QB00108,SPICY AMBER 973 ,,,,,,
IFF-QB00095,HERBAL 550,,,,,,
IFF-QB00099,MC QUEEN 557,,,,,,
IFF-QB00088,DRAK BLACK 558 ,,,,,,
IFF-QB00094,GREEN TEA & CHAI 202,,,,,,
IFF-QB00090,FLORAL HOME 413,,,,,,
IFF-QB00113,SWEET ANIS 972,,,,,,
IFF-QB00039,BOSS 86,,,,,,
IFF-QB00050,FLORAL ROSS FS 6596,,,,,,
IFF-QB00067,VCA BLUE 629 FLOR DE LUNA,,,,,,
IFF-QB00068,VCB BLUE 231,,,,,,
IFF-QB00041,CELESTIAL DREAMS 958,,,,,,
IFF-QB00061,QUIM 1147 FS,,,,,,
IFF-QB00059,QUIM 1074 FS BLUE,,,,,,
IFF-QB00060,QUIM 1075 FSE F,,,,,,
IFF-QB00062,SIMPLY BLUE 607,,,,,,
IFF-QB00046,DURAMAX 640,,,,,,
IFF-QB00052,FREEDOM 639,,,,,,
IFF-QB00047,ELEGANT 957 (ELEGANCY),,,,,,
IFF-QB00056,MAGIC DELIGHT 759 ,,,,,,
IFF-QB00053,GLAM 359 GLAMUR,,,,,,
IFF-QB00063,SUAVE PRIMAVERA 958,,,,,,
IFF-QB00051,FOUGERE FRESH 003-H,,,,,,
IFF-QB00289,COUNTRY SOFT 239 NO USAR,,,,,,
IFF-QB00049,FLORAL ROSE 001-B,,,,,,
IFF-QB00066,TUBEROSE 946,,,,,,
IFF-QB00204,SPARK PETAL 318 MICROCAPSULAS,,,,,,
IFF-QB00054,GREEN SENSE 842,,,,,,
IFF-QB00037,BLUE COTTON 824,,,,,,
IFF-QB00064,SUEÑOS DE ALGODON 707,,,,,,
IFF-QB00042,CLEAR WHITE 709,,,,,,
IFF-QB00131,CHAMOMILLE 398 (MANZANILLA),,,,,,
IFF-QB00125,APPLE 872 (MANZANA VERDE),,,,,,
IFF-QB00124,ALOE VERA GAV 1171 SH,,,,,,
IFF-QB00170,SER 1110 PERA,,,,,,
IFF-QB00151,KIWI FRESH 625,,,,,,
IFF-QB00165,SER 1057 UVA MORADA,,,,,,
IFF-QB00158,QUIM 1300(PASION FRUIT),,,,,,
IFF-QB00164,SER 1013 (SHAMPOO PANTENE FLORAL FRUTAL),,,,,,
IFF-QB00122,1181-D (MENTA),,,,,,
IFF-QB00122,ABRILLANTADOR OPTICO(LIQUIDO),,,,,,
IFF-QB00123,ALMOND 339,,,,,,
IFF-QB00130,BOSS 3152,,,,,,
IFF-QB00142,FASHION 180,,,,,,
IFF-QB00152,MANGIFF 188,,,,,,
IFF-QB00166,SER 1098 ORQUIDEA JAZMIN,,,,,,
IFF-QB00168,SER 1104 AGUACATE,,,,,,
IFF-QB00126,AVEIA PLUS PONS CR,,,,,,
IFF-QB00128,BLAZING 185,,,,,,
IFF-QB00160,RAINY WASH 530,,,,,,
IFF-QB00043,COCONUT DELICE 733,,,,,,
IFF-QB00323,CESCO LV40 ,,,,,,
IFF-QB00208,FLOWER CLEAN 384,,,,,,
IFF-QB00139,DELIRIOUS JABOTICABA 335,,,,,,
IFF-QB00129,BLUE BREEZE 929,,,,,,
IFF-QB00143,FLORAL BOUQUET 981,,,,,,
IFF-QB00198,BLUE MICRO MEMORIES 320 (AZUL),,,,,,
IFF-QB00200,HAPPY MICRO SUNSHINE 312 (AZUL),,,,,,
IFF-QB00199,ELEGANT MICRO SOFTNESS 957 ( AMARILLO),,,,,,
IFF-QB00118,TUTTI 001,,,,,,
IFF-QB00080,CHAN 001-C,,,,,,
IFF-QB00236,CK ONE GL 8020 M,,,,,,
IFF-QB00269,SER 1050 ENSUENO,,,,,,
IFF-QB00286,VCA MOMENTOS 2321,,,,,,
IFF-QB00284,VCA FIESTA 4325 ,,,,,,
IFF-QB00260,PETALOS DE ROSA,,,,,,
IFF-QB00238,PALOMA 5052 CR,,,,,,
IFF-QB00228,BOSQUE DE BAMBU ,,,,,,
IFF-QB00261,QUIM BLUE 629 ,,,,,,
IFF-QB00282,TROPIC FRUIT M 957,,,,,,
IFF-QB00256,MINT MINT M BRM11,,,,,,
IFF-QB00229,BOSS 1363 FQ(TANGO),,,,,,
IFF-QB00240,EXPELL FRESH M 820,,,,,,
IFF-QB00234,CITRIC FRESH ,,,,,,
IFF-QB00262,QUIM HIDRA 759 ,,,,,,
IFF-QB00273,SOFT LILY,,,,,,
IFF-QB00276,SUAVIAZUL M 75 ,,,,,,
IFF-QB00272,SOFT BLUE M 68 ,,,,,,
IFF-QB00246,GREEN APPLE 1082 ,,,,,,
IFF-QB00257,NEW MAXI COLOR D7754,,,,,,
IFF-QB00233,CHICLE 001D ,,,,,,
IFF-QB00288,WAIKIKI 204 ,,,,,,
IFF-QB00264,REVIVAL 006 A NATTURA ,,,,,,
IFF-QB00223,BERRY PUNCH 867 FV ,,,,,,
IFF-QB00250,LAVENDER FRESH,,,,,,
IFF-QB00227,BLUE MOON,,,,,,
IFF-QB00268,SEA BREEZE,,,,,,
IFF-QB00259,FLORALIS 830 ,,,,,,
IFF-QB00249,JUNGLE FRESH ,,,,,,
IFF-QB00230,CANELLE,,,,,,
IFF-QB00287,VIOLET FLOWER,,,,,,
IFF-QB00251,LAVENDER MISTICA ,,,,,,
IFF-QB00244,FRESH BREEZE  ,,,,,,
IFF-QB00100,MIRACLE 554,,,,,,
IFF-QB00258,NIV KF001B CR M,,,,,,
IFF-QB00104,PEACH P757,,,,,,
IFF-QB00281,TANGO HIDRA,,,,,,
IFF-QB00172,WASH OUT 560,,,,,,
IFF-QB00086,CLEANWOOD 860 S/P,,,,,,
IFF-QB00096,LIQUID FEEL 382,,,,,,
IFF-QB00242,FLORAL PLUS,,,,,,
IFF-QB00106,SANDALWOOD,,,,,,
IFF-QB00097,LOVELY POSSION 504,,,,,,
IFF-QB00102,OLD WOOD 789 S/P,,,,,,
IFF-QB00078,CEDARLOVE 443 S/P,,,,,,
IFF-QB00292,GREEN HOUSE S/P,,,,,,
IFF-QB00001,BOTANIKA S/P,,,,,,
IFF-QB00034,SO FRESH S/P,,,,,,
IFF-QB00163,SENSE OF NATURE S/P,,,,,,
IFF-QB00206,CRYSTAL HEALING S/P,,,,,,
IFF-QB00114,SWEET LOVE 591,,,,,,
IFF-QB00111,STUNNING 507,,,,,,
IFF-QB00222,BERRY BLOSSOM S/P,,,,,,
IFF-QB00029,RUPERT 933 S/P,,,,,,
IFF-QB00291,WILD CITRONELLA 815 S/P,,,,,,
IFF-QB00085,CLASSIC FLORAL 535 S/P,,,,,,
IFF-QB00283,VAINILLA CITRICO S/P,,,,,,
IFF-QB00002,CHERRY BERRY,,,,,,
IFF-QB00226,BLUE MOMENT 759,,,,,,
IFF-QB00140,DRIZZLE 691 S/P,,,,,,
IFF-QB00255,MINT BOSS 64,,,,,,
IFF-QB00218,ARGAN MANDARINA SOFT 195,,,,,,
IFF-QB00266,ROSETA 70,,,,,,
IFF-QB00195,TH NINA 245 S/P,,,,,,
IFF-QB00176,AMOR CON J 496 S/P,,,,,,
IFF-QB00181,BUENA NINA 979 S/P,,,,,,
IFF-QB00183,CANAL AZUL 921 S/P,,,,,,
IFF-QB00245,GLAMOUR 50,,,,,,
IFF-QB00015,GINGER ESSENCE 357 S/P,,,,,,
IFF-QB00259,PASION FLORAL 821 S/P,,,,,,
IFF-QB00220,BAMBOO SENSE 2150 S/P,,,,,,
IFF-QB00193,SOY TU HOMBRE,,,,,,
IFF-QB00188,HOMBRE MILLON ,,,,,,
IFF-QB00027,NEVERLAND 700,,,,,,
IFF-QB00017,JAZMIN GREEN 263,,,,,,
IFF-QB00006,CITRUS SPARKLE 831 S/P,,,,,,
IFF-QB00203,SPARK FRESH 317,,,,,,
IFF-QB00202,LUXEL 149,,,,,,
IFF-QB00277,SUN FLOWERS 1322 S/P,,,,,,
IFF-QB00271,SMOOTH BABY 1566 S/P,,,,,,
IFF-QB00274,SPARKLING CITRUS 355,,,,,,
IFF-QB00278,SUNSHINE FLOWERS 324,,,,,,
IFF-QB00127,BABY HYPO 168,,,,,,
IFF-QB00132,CHAMP DE LAVAND 897,,,,,,
IFF-QB00135,COCONUT AND ALOE 813 S/P,,,,,,
IFF-QB00196,VICTORY 225,,,,,,
IFF-QB00187,GHOST 081,,,,,,
IFF-QB00150,JUNGLE MELON 836,,,,,,
IFF-QB00112,SUMMER SUNSET 066,,,,,,
IFF-QB00149,JUICY FRESH CITRUS 120,,,,,,
IFF-QB00231,POTPURRI FRUIT 755,,,,,,
IFF-QB00270,SIMPLE POSSION 383,,,,,,
IFF-QB00248,GREEN WATER 8225,,,,,,
IFF-QB00179,BLACK FLORAL 842,,,,,,
IFF-QB00121,WATERY TIMBRE 939 S/P,,,,,,
IFF-QB00105,PINK LADY 819 S/P,,,,,,
IFF-QB00107,SENSUAL BREEZE 873 S/P,,,,,,
IFF-QB00147,GINGER TOUCH 917 S/P,,,,,,
IFF-QB00048,FLORAL CREAMY 275 S/P,,,,,,
IFF-QB00134,CLEAN SCENT 655 S/P,,,,,,
IFF-QB00035,WOOD WICK 122,,,,,,
IFF-QB00235,CITRIC LEMON FRESH,,,,,,
IFF-QB00243,FOUGERE GREEN 3020 S/P,,,,,,
IFF-QB00275,SPORTIVO MEN 2023,,,,,,
IFF-QB00221,BELLE FEMME 6040,,,,,,
IFF-QB00241,FEMME ROUSE 7525,,,,,,
IFF-QB00267,SB CHERRY,,,,,,
IFF-QB00138,DEATH BY CHOCOLATE S/P,,,,,,
IFF-QB00141,ELDEBERRY S/P,,,,,,
IFF-QB00145,FROSTED WHITE CITRON S/P,,,,,,
IFF-QB00148,INDULGENT TOUCH 268,,,,,,
IFF-QB00154,MUSK 377,,,,,,
IFF-QB00057,MAJESTIC BLUE 935,,,,,,
IFF-QB00058,PURPLE MYSTERY S/P,,,,,,
IFF-QB00070,SUNSENSATION S/P,,,,,,
IFF-QB00157,PINEAPPLE PARADISE S/P,,,,,,
IFF-QB00028,PRECIOUS CARE 828 S/P,,,,,,
IFF-QB00239,DOW YELLOW,,,,,,
IFF-QB00216,SPRING TIME 289,,,,,,
IFF-QB00215,SPRING BREAK 290,,,,,,
IFF-QB00212,PREMIUM FABRIC 701,,,,,,
IFF-QB00205,CLEAN PLUS 049,,,,,,
IFF-QB00211,PERFECT BRIGHT 056,,,,,,
IFF-QB00213,PREMIUM FABRIC 992,,,,,,
IFF-QB00197,BLOOM MEDLEY 420,,,,,,
IFF-QB00210,MY FLORAL 448,,,,,,
IFF-QB00217,APPLE FRUITY 8230,,,,,,
IFF-QB00280,SUSPIRO DE AZAR 33,,,,,,
IFF-QB00144,FLORAL TOUCH 956,,,,,,
IFF-QB00252,LOVE & AFFECTION 2514,,,,,,
IFF-QB00219,BAMBOO BLEND,,,,,,
IFF-QB00237,DESTELLOS DE SOL,,,,,,
IFF-QB00232,CARISMAS 2911,,,,,,
IFF-QB00299,NOCHEBUENA 24,,,,,,
IFF-QB00136,COMPLETELY NUTS S/P,,,,,,
IFF-QB00319,GREEN TEA CUCUMBER 956,,,,,,
IFF-QB00156,PAMPERING TOUCH 927 ,,,,,,
IFF-QB00318,ACTIVE CARBON 423,,,,,,
IFF-QB00322,FRESH CITRUS 580,,,,,,
IFF-QB00324,LAVENDER 479,,,,,,
IFF-QB00380,AQUA MARINE 25,,,,,,
