Codigo interno ,Chemical Name,,NETO ,TARA ,BRUTO
KAO-QB00027,CETILICO KALKOL 6098,,0.5,0.015,0.515
KAO-QB00042,EMAL 10-N (LAURIL SULFATO DE SODIO) ,,1,0.015,1.015
VAR-QB00008,ACIDO CITRICO,,2,0.35,2.35
VAR-QB00009,ACIDO ESTEARICO AE-5001 TRIPLE PRENSADO (COSMETICO),,3,0.35,3.35
VAR-QB00069,DBSS,,4,0.35,4.35
VAR-QB00082,ESTANATO DE SODIO ,,5,0.35,5.35
VAR-QB00099,GLICEPOL 160,,6,0.35,6.35
VAR-QB00032,C.M.C.,,7,0.35,7.35
VAR-QB00076,EDTA,,8,0.35,8.35
VAR-QB00144,TRICLOSAN,,9,0.35,9.35
VAR-QB00036,CERABOSS 4048 BASE,,10,0.35,10.35
VAR-QB00001,ABRILLANTADOR OPTICO POLVO,,,,
VAR-QB00013,ALCANFOR ,,,,
LUB-QB00064,SENSOMER 10M (POLYQUATERNIUM 10),,,,
ASH-QB00032,NATROSOL 250HHRP 5565,,,,
ASH-QB00001,BENECEL ,,,,
ASH-QB00010,COSMEDIA GUAR N HANCE 3196,,,,
VAR-QB00014,ALCOHOL CETILICO S/P,,,,
VAR-QB00081,ESPESANTE D150 S/P,,,,
VAR-QB00191,POLYQUATERNIUM 10,,,,
ASH-QB00036,P.V.P. K 30,,,,
ASH-QB00041,RAPITHIX A-100 S/P,,,,
ASH-QB00070,GERMALL PLUS POLVO,,,,
ASH-QB00050,VITAL ET,,,,
ASH-QB00060,GERMALL 115,,,,
ASH-QB00039,PVP K90,,,,
ASH-QB00086,STYLEZE ES FORZA,,,,
KAO-QB00032,DANOX HC30,,,,
