Codigo interno ,Chemical Name
IFF-QB00007,DSM 1024 LAVANDA
IFF-QB00133,CITRUS SPLASH 690 
IFF-QB00008,DSM 1034 MAR FRESCO
IFF-QB00009,DSM 1068 (EUCALIPTO)
,DSM 1023 LIMON
IFF-QB00044,DSM 1007 TERSO BEBE
IFF-QB00045,DSM 1020 EXIT PRADE 
,MAGIC SUN
IFF-QB00201,LITTLE BABY CAP 420
IFF-QB00040,CATERPILLAR 054
IFF-QB00055,HAPPY 360
IFF-QB00038,BLUE SKY 270
,DSM 1017 (CARRO NUEVO) 
,DSM 1039 MENTA 
IFF-QB00073,BAMBOO BOO 664
,DSM 1037 (PALMOLIVE)
IFF-QB00207,DSM 1063 (ACE)
IFF-QB00290,DSM 1082 FAB PASION FRUTAL
IFF-QB00173,FF-SMT 1023 MEN
,SUSPIRO 991 
IFF-QB00182,CALVAN 1-150 
IFF-QB00180,BOSS 3023 (ACQUA DI GIO) 
IFF-QB00189,FF SMT 1059 KA
IFF-QB00185,FF SMT1055 DEUPHORIA BLOSS
IFF-QB00190,FF SMT 1047 DKENZO F.
IFF-QB00175,DAMOR DAMOR FFSMT1057
,COOL WATER FFSMT1034 
IFF-QB00192,FFSMT1052  DPACIFIC P.
IFF-QB00184,CIC 0441 HB
,COM 2047 CAROLINA HERRERA MUJER 
IFF-QB00177,FF SMT 1028 HARMANY
,L`EAU PAR KENZO FFSMT1018 
,HUGO BOSS DAMA
,AMARIGE DAMA
,CK ONE DAMA
IFF-QB00194,SPORTIVO 971 
IFF-QB00191,MEN 500
IFF-QB00186,FITNESS 248
,PERFUME 60 ML 
IFF-QB00021,LEMON 926
IFF-QB00022,LIME 146
IFF-QB00023,LIME 223
IFF-QB00014,FRUITY MIX 327
IFF-QB00024,LIMON 990
IFF-QB00004,CITRUS BLEND 144 EXPPLOSION FRUTAL
IFF-QB00005,CITRUS FRESH 140
IFF-QB00026,NARANJA 336
,SPARK CITRUS 319 
IFF-QB00003,CITRIC TWIST 592 
IFF-QB00018,LAVANDA 347
,LAVENDER SCORE 854
,FRESCURA DE DURAZNO 708 
IFF-QB00302,SER 1011 (LAVANDA) 
IFF-QB00019,LAVENDER SKY 099 MOD
IFF-QB00020,LAVENDER TOUCH 830
IFF-QB00030,SEA FRESH 652
IFF-QB00032,SEA FRESH 820 (MARINE 667-W)
IFF-QB00031,SEA FRESH 704
IFF-QB00033,SER 1002 (PINO)
,TROPICAL SPLASH 
IFF-QB00025,MARINE LOVE 818
IFF-QB00011,FLORAL 001-E MOD
IFF-QB00012,FLORAL 841
