Codigo interno ,Chemical Name,,NETO ,TARA ,BRUTO
KAO-QB00069,QUARTAMIN D86P,,1,0.29,1.29
KAO-QB00061,POIZ 88,,2,0.29,2.29
KAO-QB00072,TETRANYL AT7590E,,3,0.29,3.29
KAO-QB00054,KAOSOFT AGL85,,4,0.29,4.29
VAR-QB00018,ALCOHOL LAURICO 9 MOLES,,5,0.6,5.6
VAR-QB00111,LSA QH,,6,0.6,6.6
VAR-QB00077,EMULBOSS 54,,7,0.6,7.6
VAR-QB00039,CICLODIMETICONA 8014 SILIKA,,8,0.6,8.6
VAR-QB00073,DETERCL  30-12,,9,0.6,9.6
LUB-QB00030,FIXATE G100,,10,0.6,10.6
LUB-QB00033,FIXATE RSP( GOOD RITE),,11,1.2,12.2
LUB-QB00047,NOVEMER EC1,,12,1.2,13.2
LUB-QB00068,SILSENSE TM COPOLYOL-1 SILICONE,,13,1.2,14.2
LUB-QB00037,GLUCAM P20,,14,1.2,15.2
LUB-QB00038,GLUCAMATE LT,,15,1.2,16.2
VAR-QB00175,POLYQUATERNIUM 7,,16,1.2,17.2
ASH-QB00033,OPACIFICANTE A-430,,17,1.2,18.2
ASH-QB00020,GERMALL PLUSS LIQ,,18,1.2,19.2
ASH-QB00045,STYLIZE W20,,19,1.2,20.2
ASH-QB00022,LUBRAJEL 0IL ,,20,1.2,21.2
ASH-QB00005,CERAPHYL 70,,,,
ASH-QB00043,SOREZ 100,,,,
ASH-QB00024,LUMINI SYSTEM,,,,
ASH-QB00044,SOREZ H5205 ,,,,
VAR-QB00173,P-QUAT 37,,,,
VAR-QB00127,PHANTENOL D,,,,
KAO-QB00034,DANOX PL-10,,,,
LUB-QB00049,NOVERITE 301 S/P,,,,
VAR-QB00108,LESS 70% S/P,,,,
VAR-QB00138,SURFAGEL,,,,
VAR-QB00148,VITAMINA E,,,,
KAO-QB00070,TETRANYL AT7590,,,,
VAR-QB00074,LUBRAJEL MARINE,,,,
VAR-QB00182,FIJADOR X100,,,,
VAR-QB00183,FIJADOR LS,,,,
ASH-QB00049,TOMASA SHEA BUTTER,,,,
ASH-QB00025,LUNAMATRIX,,,,
ASH-QB00024,LUMINI SYSTEM,,,,
KAO-QB00017,AKYPO SUGAR LM-42,,,,
KAO-QB00056,KAOSOFT AT-50V,,,,
