Codigo interno,CODIGO VARIANTE,Chemical Name,CAS Number,Signal Word,Emergencia,H-Statements,Consejos,Pictogram 1,Pictogram 2,Pictogram 3,Pictogram 4
IFF-QB00007,F0101001,DSM 1024 LAVANDA,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411
","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501

",G,I,1,1
IFF-QB00133,F0101003,CITRUS SPLASH 690 ,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302+P352, P305+P351+P338, P333+P313, P337+P313, P362+P364, P391, P501",G,I,1,1
IFF-QB00008,F0102001,DSM 1034 MAR FRESCO,Mezcla,ATENCION,1 800 002 1400,"H227, H303, H315,
H317, H319, H400,
H411","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313 P362 + P364, P370 + P378, P391 P403 + P235, P501",G,I,1,1
IFF-QB00009,F0102003,DSM 1068 (EUCALIPTO),Mezcla,PELIGRO,1 800 002 1400,"H226, H302, H304,
H315, H317, H319,
H371, H410","P210, P233, P240, P241, P242, P243, P260, P264, P270, P272, P273, P280, P301 + P310, P303 + P361 + P353,  P305 + P351 + P338, P308 + P311, P331, P333 + P313,  337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",B,I,H,G
,F0104001,DSM 1023 LIMON,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00044,F0201001,DSM 1007 TERSO BEBE,Mezcla,ATENCION,1 800 002 1400,"H316, H317, H411","P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,I,1,1
IFF-QB00045,F0201002,DSM 1020 EXIT PRADE ,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H411.","P210, P261, P264, P272, P273, P280, P302+P252, P305+P351+P338, P333+P313, P362+P364, P370+P378, P391, P403+P235, P501.",G,I,1,1
,F0201003,MAGIC SUN,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00201,F0201004,LITTLE BABY CAP 420,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313,   337 + P313,  P362 + P364, P391,  P501",G,I,1,1
IFF-QB00040,F0201005,CATERPILLAR 054,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317 H361, H410","P201, P202, P210, P261, P264, P272, P273, P280, P302 + P352, P308 + P313, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,H,1,1
IFF-QB00055,F0201006,HAPPY 360,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H410","P261, P264, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,I,1,1
IFF-QB00038,F0201007,BLUE SKY 270,Mezcla,ATENCION,1 800 002 1400,"H227, H303, H 315, H317, H319, H361, H411, ","P201, P202, P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,I,H,1
,F0301001,DSM 1017 (CARRO NUEVO) ,Mezcla, - , - , - , - ,1,i,h,e
,F0301003,DSM 1039 MENTA ,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00073,F0301004,BAMBOO BOO 664,Mezcla,PELIGRO,1 800 002 1400,"H227, H303, H304, H315, H317, H319,  H361, H400, H411","P201, P202, P210, P261, P264, P272, P273, P280, P301 + P310, P302 + P352, P305 + P351 + P338, P312, P331, P333 + P313, P337 + P313, P362 + P364, P370 + P378, 391, P403 + P235, P405, P501",G,I,H,1
,F0401003,DSM 1037 (PALMOLIVE),Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00207,F0401004,DSM 1063 (ACE),Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H361, H410
","P201, P202, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P308 + P313 P333 + P313, P337 + P313 P362 + P364, P391, P405, P501",G,I,H,1
IFF-QB00290,F0401007,DSM 1082 FAB PASION FRUTAL,Mezcla,ATENCION,1 800 002 1400,"H316, H317, H411","P261, P272, P273, P280 P302 + P352, P333 + P313 P362 + P364, P391, P501",G,I,1,1
IFF-QB00173,P0101002,FF-SMT 1023 MEN,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317, H319, H361, H411","P201, P202, P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501",G,I,H,1
,P0101003,SUSPIRO 991 ,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00182,P0101004,CALVAN 1-150 ,Mezcla,PELIGRO,1 800 002 1400,"H227, H304, H315, H317, H411","P210, P261, P264, P272, P273, P280, P301 + P310, P302 + P352, P331, P333 + P313,  P362 + P364, P370 + P378, P391, P403 + P235, P405, P501
",G,I,H,1
IFF-QB00180,P0101032,BOSS 3023 (ACQUA DI GIO) ,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00189,P0101040,FF SMT 1059 KA,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319,  H361, H410","P201, P202, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P308 + P313, P333 + P313, P337 + P313, P362 + P364, P391, P405, P501",G,I,H,1
IFF-QB00185,P0101041,FF SMT1055 DEUPHORIA BLOSS,Mezcla,ATENCION,1 800 002 1400,"H316, H317, H319, H411","P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P391, P501",G,I,1,1
IFF-QB00190,P0101042,FF SMT 1047 DKENZO F.,Mezcla,ATENCION,1 800 002 1400,"H316, H317, H410","P261, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,I,1,1
IFF-QB00175,P0101043,DAMOR DAMOR FFSMT1057,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H411","P261, P264, P272, P273, P280, P302 + P352, P333 + P313, P362 + P364, P391, P501",G,I,1,1
,P0101048,COOL WATER FFSMT1034 ,Mezcla, - , - , - , - ,1,1,1,1
IFF-QB00192,P0101049,FFSMT1052  DPACIFIC P.,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H361, H411","P201, P202, P210, P261, P264, P272, P273, P280, P302 + P352, P308 + P313, P333 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P405, P501",G,I,H,1
