Requiere actualizar,Fecha de actualización,Codigo interno,Chemical Name,CAS Number,Signal Word,Emergencia,H-Statements,Consejos (Frases P),Exclamación (PICTOGRAMA ),Corrosión (PICTOGRAMA ),Peligro para la salud (PICTOGRAMA ),Calavera (PICTOGRAMA ),Llama (PICTOGRAMA ),Ambiente (PICTOGRAMA ),Llama sobre círculo (PICTOGRAMA ),Bomba explotando (PICTOGRAMA ),Cilindro de gas (PICTOGRAMA )
,2025-10-14 00:00:00,IFF-QB00122,1181-D MENTA,Mezcla,PELIGRO,01 800 002 1400,"H227, H304, H315,  H317, H361","P210, P261, P280, P301 + P310, P302 + P352, P308 + P313, P331, P333 + P313, P370 + P378",X,,X,,,,,,
,2025-12-02 00:00:00,VAR-QB00002,ABRILLANTADOR OPTICO LIQUIDO,No aplicable,ATENCION,01 800 002 1400,H319,"P264, P280, P305+P351+P338, P337+P313",X,,,,,,,,
SOLICITAR HDS ACTUALIZADA MILLKEM,,VAR-QB00001,ABRILLANTADOR OPTICO POLVO,13463- 67- 7,PELIGRO,01 800 002 1400,"H320, H335, H371, H350","P201, P202, P260, P264, P270, P271, P273, P280",X,,X,,,,,,
,2025-11-25 00:00:00,VAR-QB00003,ACEITE DE CASTOR HIDROGENADO S/P,61788-85-0,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-21 00:00:00,VAR-QB00004,ACEITE DE COCO RBD S/P,8001-31-8,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,,,,,,,,,
,2025-10-21 00:00:00,VAR-QB00005,ACEITE DE PINO Y55,Mezcla,PELIGRO,01 800 002 1400,"H226, H334, H305, H320, H315, H400","P210, P233, P235, P241, P242, P243, P280, P303, P361, P353, P370, P378, P261, P284, P304, P340, P341, P311, P301, P331, P405, P501, P264, P305, P351, P338, P337, P313, P391",X,,X,,X,X,,,
,2025-11-25 00:00:00,VAR-QB00006,ACEITE MINERAL QB 85,8042-47-5,ATENCION,01 800 002 1400,"H227, H402","P201, P273, P280, P370+P378, P381, P404",X,,,,,,,,
,2025-10-21 00:00:00,VAR-QB00007,ACETATO DE ISOAMILO S/P,123-92-2,ATENCION,01 800 002 1400,H226,"P210, P233, P240, P241, P242, P303 + P361 + P353, P403 + P235, P501",X,,,,,,,,
,2025-10-23 00:00:00,VAR-QB00008,ACIDO CITRICO,77-92-9,ATENCION,01 800 002 1400,H319,"P264, P280, P305 + P351 + P338, P337+P313",X,,,,,,,,
,2025-11-25 00:00:00,VAR-QB00009,ACIDO ESTEARICO AE-5001 TRIPLE PRENSADO (COSMETICO),No aplicable,ATENCION,01 800 002 1400,H315,"P501, P402+P403+P404+9410 ",X,,,,,,,,
