H,Significado
H200,Explosivo inestable
H201,Explosivo;  peligro de explosión de masa
H202,Explosivo; grave peligro de proyección
H203,"Explosivo; peligro de incendio, de onda expansiva o de proyección"
H204,Peligro de incendio o de proyección
H205,Peligro de explosión en masa en caso de incendio
H206,"Peligro de incendio, onda expansiva o proyección; mayor riesgo de explosión si se reduce el agente insensibilizante."
H207,Peligro de incendio o proyección; mayor riesgo de explosión si se reduce el agente insensibilizante.
H208,Peligro de incendio; mayor riesgo de explosión si se reduce el agente insensibilizante.
H209,Explosivo
H210,Delicado. Explosivo.
H211,Tal vez sensible. Explosivo.
H220,Gas extremadamente inflamable
H221,Gas inflamable
H222,Aerosol extremadamente inflamable
H223,Aerosol inflamable
H224,Líquido y vapores extremadamente inflamables
H225,Líquido y vapores muy inflamables
H226,Líquidos y vapores inflamables
H227,Líquido combustible.
H228,Sólido inflamable.
H229,Recipiente a presión: Puede reventar si se calienta.
H230,Puede explotar incluso en ausencia de aire
H231,"Puede explotar incluso en ausencia de aire, a presión y/o temperatura elevadas."
H232,Puede inflamarse espontáneamente en contacto con el aire.
H240,Peligro de explosión en caso de calentamiento
H241,Peligro de incendio o explosión en caso de calentamiento
H242,Peligro de incendio en caso de calentamiento.
H250,Se inflama espontáneamente en contacto con el aire
H251,Se calienta espontáneamente; puede inflamarse.
H252,Se calienta espontáneamente en grandes cantidades; puede inflamarse.
H260,En contacto con el agua desprende gases inflamables que pueden inflamarse espontáneamente.
H261,En contacto con el agua desprende gases inflamables.
H270,Puede provocar o agravar un incendio; comburente.
H271,Puede provocar un incendio o una explosión; muy comburente.
H272,Puede agravar un incendio; comburente.
H280,Contiene gas a presión; peligro de explosión en caso de calentamiento
H281,Contiene gas refrigerado; puede provocar quemaduras o lesiones criogénicas.
H282,Sustancia química extremadamente inflamable bajo presión: puede explotar si se calienta.
H283,Producto químico inflamable a presión: puede explotar si se calienta.
H284,Sustancia química a presión: puede explotar si se calienta.
H290,Puede ser corrosivo para los metales.
H300,Mortal en caso de ingestión
H300 + H310,Mortal en caso de ingestión o en contacto con la piel.
H300 + H310 + H330,"Mortal en caso de ingestión, contacto con la piel o inhalación."
H300 + H330,Mortal en caso de ingestión o inhalación.
H301,Tóxico en caso de ingestión.
H301 + H311,Tóxico en caso de ingestión o en contacto con la piel.
H301 + H311 + H331,"Tóxico en caso de ingestión, contacto con la piel o
inhalación."
H301 + H331,Tóxico en caso de ingestión o inhalación.
H302,Nocivo en caso de ingestión.
H302 + H312,Nocivo en caso de ingestión o en contacto con la piel.
H302 + H312 + H332,"Nocivo en caso de ingestión, contacto con la piel o
inhalación."
H302 + H332,Nocivo en caso de ingestión o inhalación.
H303,Puede ser nocivo si se ingiere. 
H303 + H313,Podría causar daño si es ingerido o entra en contacto con la piel
H303 + H313 + H333,"Podría causar daño si es ingerido, entra en contacto con la piel o si es inhalado"
H303 + H333,Podría causar daño si es ingerido o es inhalado 
H304,Puede ser mortal en caso de ingestión y penetración en las vías respiratorias
H305,Puede ser perjudicial si se ingiere y entra en las vías respiratorias.
H310,Mortal en contacto con la piel.
H310 + H330,Mortal en contacto con la piel o si se inhala
H311,Tóxico en contacto con la piel.
H311 + H331,Tóxico en contacto con la piel o si se inhala
H312,Nocivo en contacto con la piel.
H312 + H332,Nocivo en contacto con la piel o si se inhala.
H313,Puede ser perjudicial en contacto con la piel.
H314,Provoca quemaduras graves en la piel y lesiones oculares graves.
H315,Provoca irritación cutánea.
H315 + H319,Provoca irritación cutánea e irritación ocular grave
H315 + H320,Provoca irritación cutánea y ocular.
H316,Causa irritación en la piel
H317,Puede provocar una reacción alérgica en la piel.
H318,Provoca lesiones oculares graves.
H319,Provoca irritación ocular grave.
H320,Provoca irritación ocular.
H330,Mortal en caso de inhalación.
H331,Tóxico en caso de inhalación.
H332,Nocivo en caso de inhalación.
H333,Puede ser perjudicial si se inhala.
H334,Puede provocar síntomas de alergia o asma o dificultades respiratorias en caso de inhalación.
H335,Puede irritar las vías respiratorias.
H336,Puede provocar somnolencia o vértigo.
H340,Puede provocar defectos genéticos.
H341,Se sospecha que provoca defectos genéticos 
H350,Puede provocar cáncer
H351,Se sospecha que provoca cáncer
H360,Puede perjudicar la fertilidad o dañar al feto.
H361,Se sospecha que puede perjudicar la fertilidad o dañar el feto
H362,Puede perjudicar a los niños alimentados con leche materna.
H370,Provoca daños en los órganos.
H371,"Puede provocar daños en los órganos, si se inhala."
H372,"Provoca daños en los órganos <indíquense todos los órganos afectados, si
se conocen."
H373,Puede provocar daños en los órganos tras exposiciones prolongadas o repetidas en caso de ingestión.
H400,Muy tóxico para los organismos acuáticos.
H401,Tóxico para los organismos acuáticos.
H402,Nocivo para la vida acuática.
H410,"Muy tóxico para los organismos acuáticos, con efectos nocivos duraderos."
H411,"Tóxico para los organismos acuáticos, con efectos nocivos duraderos."
H412,"Nocivo para los organismos acuáticos, con efectos nocivos duraderos."
H413,"Puede ser nocivo para los organismos acuáticos, con efectos nocivos
duraderos."
H420,"Causa daños a la salud pública y el medio ambiente al destruir el ozono en
la atmósfera superior."
H421,Perjudica la salud pública y el medio ambiente al contribuir al calentamiento global
