P,Significado
P101,"Si se necesita consejo médico, tener a mano el envase o la etiqueta "
P102,Mantener fuera del alcance de los niños
P103,Leer la etiqueta antes del uso
P201,Solicitar instrucciones especiales antes del uso
P202,No manipular la sustancia antes de haber leído y comprendido todas las instrucciones de seguridad
P210,"Mantener alejado de fuentes de calor, chispas, llama abierta o superficies calientes. No fumar"
P211,No pulverizar sobre una llama abierta u otra fuente de ignición
P212,Evitar el calentamiento en espacios cerrados o la reducción del agente desensibilizado.
P220,Mantener o almacenar alejado de la ropa/…/materiales combustibles
P221,Tomar todas las precauciones necesarias para no mezclar con materias combustibles
P222,No dejar que entre en contacto con el aire
P223,"Mantener alejado de cualquier posible contacto con el agua, pues reacciona violentamente y puede provocar una llamarada"
P230,Mantener humedecido con el material recomendado por el proveedor
P231,Manipular en gas inerte
P231 + P232,Manipular en gas inerte. Proteger de la humedad
P232,Proteger de la humedad
P233,Mantener el recipiente herméticamente cerrado
P234,Conservar únicamente en el recipiente original 
P235,Mantener en lugar fresco
P235 + P410,Conservar en un lugar fresco. Proteger de la luz del sol 
P236,Conservar únicamente en el embalaje original
P240,Conectar a tierra/enlace equipotencial del recipiente y del equipo de recepción
P241,"Utilizar un material eléctrico, de ventilación o de iluminación/…/antideflagrante según sea indicado en la hoja de seguridad"
P242,Utilizar únicamente herramientas que no produzcan chispas 
P243,Tomar medidas de precaución contra descargas electrostáticas
P244,Mantener las válvulas de reducción limpias de grasa y aceite
P250,Evitar la abrasión/el choque/…./la fricción
P251,"Recipiente a presión: no perforar ni quemar, incluso después del uso"
P260,No respirar el polvo/el humo/el gas/la niebla/los vapores/el aerosol
P261,Evitar respirar el polvo/el humo/el gas/la niebla/los vapores/el aerosol 
P262,"Evitar el contacto con los ojos, la piel o la ropa"
P263,Evitar el contacto durante el embarazo/la lactancia 
P264,Lavarse concienzudamente tras la manipulación 
P265,No tocarse los ojos después de la manipulación del material.
P270,"No comer, beber ni fumar durante su utilización"
P271,Utiliza únicamente en exteriores o en un lugar bien ventilado
P272,Las prendas de trabajo contaminadas no podrán sacarse del lugar de trabajo 
P273,Evitar su liberación al medio ambiente 
P280,Llevar guantes de protección / ropa de protección / equipo de protección de los ojos / cara.
P281,Utilizar el equipo de protección individual obligatorio
P282,Llevar guantes/gafas/máscara que aislen del frío
P283,Llevar prendas ignífugas/resistentes al fuego/resistentes a las llamas
P284,Llevar equipo de protección respiratoria
P285,"En caso de ventilación insuficiente, llevar equipo de protección respiratoria "
P301,EN CASO DE INGESTIÓN
P301 + P310,EN CASO DE INGESTIÓN: Llamar inmediatamente a un CENTRO de información toxicológica o a un médico
P301 + P312,EN CASO DE INGESTIÓN: Llamar a un CENTRO de información toxicológica o a un médico si se encuentra mal 
