Codigo interno ,CODIGO VARIANTE,Chemical Name,CAS Number,Signal Word,Emergencia,H-Statements,Consejos,Pictogram 1,Pictogram 2,Pictogram 3,Pictogram 4,PESO TARA,PESO NETO,PESO BRUTO,LOTE,FECHA ELABORACION,FECHA INSPECCION,Cantidad,
IFF-QB00007,F0101001A,DSM 1024 LAVANDA,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411
","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501

",G,1,1,1,0.09,0.5,0.59,0018500439,8/27/2025,8/27/2026,1,
IFF-QB00007,F0101001B,DSM 1024 LAVANDA,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411
","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501

",G,1,1,1,0.09,1,1.09,0018500439,8/27/2025,8/27/2026,1,
IFF-QB00007,F0101001C,DSM 1024 LAVANDA,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411
","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501

",G,1,1,1,0.24,1.5,1.74,0018500439,8/27/2025,8/27/2026,1,
IFF-QB00007,F0101001D,DSM 1024 LAVANDA,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411
","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501

",G,1,1,1,0.24,2,2.24,0018500439,8/27/2025,8/27/2026,1,
IFF-QB00007,F0101001E,DSM 1024 LAVANDA,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411
","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501

",G,1,1,1,0.24,3,3.24,0018500439,8/27/2025,8/27/2026,1,
IFF-QB00007,F0101001F,DSM 1024 LAVANDA,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411
","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501

",G,1,1,1,0.24,4,4.24,0018500439,8/27/2025,8/27/2026,1,
IFF-QB00007,F0101001G,DSM 1024 LAVANDA,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411
","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501

",G,1,1,1,0.28,5,5.28,0018500439,8/27/2025,8/27/2026,1,
IFF-QB00007,F0101001H,DSM 1024 LAVANDA,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411
","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501

",G,1,1,1,0.48,10,10.48,0018500439,8/27/2025,8/27/2026,1,
IFF-QB00007,F0101001I,DSM 1024 LAVANDA,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411
","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501

",G,1,1,1,0.9,15,15.9,0018500439,8/27/2025,8/27/2026,1,
IFF-QB00007,F0101001J,DSM 1024 LAVANDA,Mezcla,ATENCION,1 800 002 1400,"H227, H315, H317,
H319, H411
","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P333 + P313, P337 + P313, P362 + P364, P370 + P378, P391, P403 + P235, P501

",G,1,1,1,0.9,20,20.9,0018500439,8/27/2025,8/27/2026,1,
,,,,,,,,,,,,,,,,,,,
IFF-QB00133,F0101003A,CITRUS SPLASH 690 ,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302+P352, P305+P351+P338, P333+P313, P337+P313, P362+P364, P391, P501",G,1,1,1,0.09,0.5,0.59,0017050968,10/30/2025,10/30/2026,1,
IFF-QB00133,F0101003B,CITRUS SPLASH 690 ,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302+P352, P305+P351+P338, P333+P313, P337+P313, P362+P364, P391, P501",G,1,1,1,0.09,1,1.09,0017050968,10/30/2025,10/30/2026,1,
IFF-QB00133,F0101003C,CITRUS SPLASH 690 ,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302+P352, P305+P351+P338, P333+P313, P337+P313, P362+P364, P391, P501",G,1,1,1,0.24,1.5,1.74,0017050968,10/30/2025,10/30/2026,1,
IFF-QB00133,F0101003D,CITRUS SPLASH 690 ,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302+P352, P305+P351+P338, P333+P313, P337+P313, P362+P364, P391, P501",G,1,1,1,0.24,2,2.24,0017050968,10/30/2025,10/30/2026,1,
IFF-QB00133,F0101003E,CITRUS SPLASH 690 ,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302+P352, P305+P351+P338, P333+P313, P337+P313, P362+P364, P391, P501",G,1,1,1,0.24,3,3.24,0017050968,10/30/2025,10/30/2026,1,
IFF-QB00133,F0101003F,CITRUS SPLASH 690 ,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302+P352, P305+P351+P338, P333+P313, P337+P313, P362+P364, P391, P501",G,1,1,1,0.24,4,4.24,0017050968,10/30/2025,10/30/2026,1,
IFF-QB00133,F0101003G,CITRUS SPLASH 690 ,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302+P352, P305+P351+P338, P333+P313, P337+P313, P362+P364, P391, P501",G,1,1,1,0.28,5,5.28,0017050968,10/30/2025,10/30/2026,1,
IFF-QB00133,F0101003H,CITRUS SPLASH 690 ,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302+P352, P305+P351+P338, P333+P313, P337+P313, P362+P364, P391, P501",G,1,1,1,0.48,10,10.48,0017050968,10/30/2025,10/30/2026,1,
IFF-QB00133,F0101003I,CITRUS SPLASH 690 ,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302+P352, P305+P351+P338, P333+P313, P337+P313, P362+P364, P391, P501",G,1,1,1,0.9,15,15.9,0017050968,10/30/2025,10/30/2026,1,
IFF-QB00133,F0101003J,CITRUS SPLASH 690 ,Mezcla,ATENCION,1 800 002 1400,"H315, H317, H319, H411","P261, P264, P272, P273, P280, P302+P352, P305+P351+P338, P333+P313, P337+P313, P362+P364, P391, P501",G,1,1,1,0.9,20,20.9,0017050968,10/30/2025,10/30/2026,1,
,,,,,,,,,,,,,,,,,,,
IFF-QB00008,F0102001A,DSM 1034 MAR FRESCO,Mezcla,ATENCION,1 800 002 1400,"H227, H303, H315,
H317, H319, H400,
H411","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313 P362 + P364, P370 + P378, P391 P403 + P235, P501",G,1,1,1,0.09,0.5,0.59,0018622781,8/27/2025,8/27/2026,1,
IFF-QB00008,F0102001B,DSM 1034 MAR FRESCO,Mezcla,ATENCION,1 800 002 1400,"H227, H303, H315,
H317, H319, H400,
H411","P210, P261, P264, P272, P273, P280, P302 + P352, P305 + P351 + P338, P312, P333 + P313, P337 + P313 P362 + P364, P370 + P378, P391 P403 + P235, P501",G,1,1,1,0.09,1,1.09,0018622781,8/27/2025,8/27/2026,1,
