Codigo interno,Chemical Name,CAS Number,Signal Word,Emergencia,H-Statements,Consejos (Frases P),Source_File,Exclamación,Corrosión,Peligro para la salud,Calavera,Llama,Ambiente,Llama sobre círculo,Bomba explotando,Cilindro de gas
IFF-QB00122,1181-D MENTA,Mezcla,PELIGRO,01 800 002 1400,"H227, H304, H315,  H317, H361","P210, P261, P280, P301 + P310, P302 + P352, P308 + P313, P331, P333 + P313, P370 + P378",Master,X,,X,,,X,,,
VAR-QB00002,ABRILLANTADOR OPTICO LIQUIDO,No aplicable,ATENCION,01 800 002 1400,H319,"P264, P280, P305+P351+P338, P337+P313",Master,X,,,,,,,,
VAR-QB00003,ACEITE DE CASTOR HIDROGENADO S/P,61788-85-0,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,Master,,,,,,,,,
VAR-QB00004,ACEITE DE COCO RBD S/P,8001-31-8,No Aplicable,01 800 002 1400,No Aplicable,No Aplicable,Master,,,,,,,,,
VAR-QB00007,ACETATO DE ISOAMILO S/P,123-92-2,ATENCION,01 800 002 1400,H226,"P210, P233, P240, P241, P242, P303 + P361 + P353, P403 + P235, P501",Master,X,,,,,,,,
VAR-QB00010,ACIDO OLEICO QB ,No Aplicable,No Aplicable,01 800 002 1400,No Aplicable,"P302 + P352, P304 + P340, P301 + P330",Master,,,,,,,,,
VAR-QB00158,ACIDO POLIFOSFORICO 115% S/P,8017-16-1,PELIGRO,01 800 002 1400,"H301, H314, H335","Ojos: Busque atención médica inmediatamente. NO permita que la víctima se frote ni mantenga los ojos 
cerrados. Se requiere lavando extenso (al menos 30 minutos).
Piel: Busque atención médica inmediatamente. Lave inmediatamente la piel con abundante agua y 
jabón durante al menos 15 minutos mientras se quita la ropa y los zapatos contaminados. Lavar la ropa 
antes de volver a usarla. Destruir zapatos contaminados.
Ingestión: NO inducir el vómito. Si la víctima está consciente y alerta, darle de 2 a 4 tazas de leche o 
agua. Nunca le dé nada por vía oral a una persona inconsciente. Obtenga ayuda médica 
inmediatamente.
Inhalación: Busque atención médica inmediatamente. Retirar de la exposición al aire fresco 
inmediatamente. Si no respira, dar respiración artificial. Si la respiración es difícil, proporcione oxígeno. 
No utilice respiración boca a boca.
Notas para el médico: Trate sintomáticamente y de apoyo.",Master,X,X,X,,,,,,
VAR-QB00157,ACIDO POLIFOSFORICO 117% S/P,8017-16-1,PELIGRO,01 800 002 1400,"H301, H314, H335","Ojos: Busque atención médica inmediatamente. NO permita que la víctima se frote ni mantenga los ojos cerrados. Se requiere lavando extenso (al menos 30 minutos).
Piel: Busque atención médica inmediatamente. Lave inmediatamente la piel con abundante agua y jabón durante al menos 15 minutos mientras se quita la ropa y los zapatos contaminados. Lavar la ropa antes de volver a usarla. Destruir zapatos contaminados.
Ingestión: NO inducir el vómito. Si la víctima está consciente y alerta, darle de 2 a 4 tazas de leche o 
agua. Nunca le dé nada por vía oral a una persona inconsciente. Obtenga ayuda médica 
inmediatamente.
Inhalación: Busque atención médica inmediatamente. Retirar de la exposición al aire fresco 
inmediatamente. Si no respira, dar respiración artificial. Si la respiración es difícil, proporcione oxígeno. 
No utilice respiración boca a boca.
Notas para el médico: Trate sintomáticamente y de apoyo.",Master,X,X,X,,,,,,
KAO-QB00015,AKYPO FOAM RL 40 S/P,33939-64-9,PELIGRO,+34 93 739 9445,H318,"P280,  P305 + P351 + P338, P310",Master,,X,,,,,,,
KAO-QB00016,AKYPO LM-40 S/P,Mezcla,PELIGRO,+34 93 739 9445,H318,"PREVENCIÓN:Llevar gafas o máscara de protección: Recomendado: Gafas anti-salpicaduras., Gafas de seguridad con protección lateral. RESPUESTA: EN CASO DE CONTACTO CON LOS OJOS: Aclarar cuidadosamente con agua durante varios minutos. Quitar las lentes de contacto, si lleva y resulta fácil. Seguir aclarando. Llamar inmediatamente a un CENTRO DE INFORMACION TOXICOLOGICA o a un médico.",Master,,X,,,,,,,
