product_id,pictogram_id
IFF-QB00122,GHS07
IFF-QB00122,GHS08
IFF-QB00122,GHS09
VAR-QB00002,GHS07
VAR-QB00001,GHS07
VAR-QB00001,GHS08
VAR-QB00005,GHS07
VAR-QB00005,GHS08
VAR-QB00005,GHS02
VAR-QB00005,GHS09
VAR-QB00006,GHS07
VAR-QB00007,GHS07
VAR-QB00008,GHS07
VAR-QB00009,GHS07
VAR-QB00158,GHS07
VAR-QB00158,GHS05
VAR-QB00158,GHS08
VAR-QB00157,GHS07
VAR-QB00157,GHS05
VAR-QB00157,GHS08
IFF-QB00318,GHS07
IFF-QB00318,GHS08
VAR-QB00011,GHS07
VAR-QB00011,GHS05
KAO-QB00015,GHS05
KAO-QB00016,GHS05
KAO-QB00017,GHS07
VAR-QB00013,GHS08
VAR-QB00016,GHS07
VAR-QB00016,GHS05
VAR-QB00016,GHS09
VAR-QB00017,GHS07
VAR-QB00017,GHS05
VAR-QB00017,GHS09
VAR-QB00018,GHS07
VAR-QB00018,GHS05
VAR-QB00018,GHS09
VAR-QB00020,GHS07
VAR-QB00020,GHS05
VAR-QB00021,GHS07
VAR-QB00021,GHS05
KAO-QB00019,GHS05
IFF-QB00123,GHS07
IFF-QB00123,GHS08
IFF-QB00124,GHS07
IFF-QB00124,GHS08
KAO-QB00021,GHS07
KAO-QB00022,GHS07
KAO-QB00022,GHS05
KAO-QB00022,GHS09
KAO-QB00024,GHS05
KAO-QB00024,GHS06
KAO-QB00024,GHS09
IFF-QB00176,GHS07
IFF-QB00176,GHS08
ASH-QB00065,GHS07
IFF-QB00125,GHS07
IFF-QB00125,GHS08
IFF-QB00072,GHS07
IFF-QB00072,GHS08
ASH-QB00085,GHS09
IFF-QB00218,GHS07
IFF-QB00218,GHS08
KAO-QB00001,GHS07
KAO-QB00001,GHS05
KAO-QB00001,GHS08
KAO-QB00001,GHS09
KAO-QB00002,GHS07
KAO-QB00002,GHS05
KAO-QB00002,GHS08
KAO-QB00002,GHS09
KAO-QB00003,GHS07
KAO-QB00003,GHS05
KAO-QB00003,GHS08
KAO-QB00003,GHS09
KAO-QB00004,GHS05
KAO-QB00004,GHS08
KAO-QB00004,GHS09
KAO-QB00005,GHS05
KAO-QB00005,GHS08
KAO-QB00005,GHS09
KAO-QB00088,GHS07
KAO-QB00088,GHS05
KAO-QB00008,GHS07
KAO-QB00008,GHS05
KAO-QB00008,GHS08
KAO-QB00008,GHS09
KAO-QB00009,GHS07
KAO-QB00009,GHS09
KAO-QB00010,GHS07
KAO-QB00010,GHS05
KAO-QB00010,GHS09
IFF-QB00126,GHS07
IFF-QB00126,GHS08
IFF-QB00127,GHS07
IFF-QB00127,GHS08
IFF-QB00073,GHS07
IFF-QB00073,GHS08
IFF-QB00220,GHS07
IFF-QB00220,GHS08
PRD-QB00001,GHS07
PRD-QB00001,GHS05
PRD-QB00001,GHS09
PRD-QB00002,GHS07
PRD-QB00006,GHS07
VAR-QB00025,GHS07
VAR-QB00026,GHS07
VAR-QB00026,GHS05
VAR-QB00026,GHS09
PRD-QB00003,GHS07
IFF-QB00178,GHS07
IFF-QB00074,GHS07
IFF-QB00074,GHS08
IFF-QB00221,GHS07
IFF-QB00221,GHS08
VAR-QB00028,GHS07
VAR-QB00028,GHS09
IFF-QB00222,GHS07
IFF-QB00222,GHS08
IFF-QB00223,GHS07
KAO-QB00025,GHS05
VAR-QB00030,GHS07
VAR-QB00031,GHS07
IFF-QB00179,GHS07
IFF-QB00179,GHS08
IFF-QB00128,GHS07
IFF-QB00128,GHS08
IFF-QB00197,GHS07
IFF-QB00197,GHS08
IFF-QB00129,GHS07
IFF-QB00129,GHS08
IFF-QB00037,GHS07
IFF-QB00037,GHS08
IFF-QB00198,GHS07
IFF-QB00198,GHS08
IFF-QB00226,GHS07
IFF-QB00226,GHS08
IFF-QB00227,GHS07
IFF-QB00227,GHS09
IFF-QB00038,GHS07
IFF-QB00038,GHS08
IFF-QB00075,GHS07
IFF-QB00075,GHS08
IFF-QB00228,GHS07
IFF-QB00228,GHS08
IFF-QB00229,GHS07
IFF-QB00229,GHS05
IFF-QB00229,GHS08
IFF-QB00229,GHS02
IFF-QB00076,GHS07
IFF-QB00130,GHS07
IFF-QB00130,GHS05
IFF-QB00130,GHS08
IFF-QB00077,GHS07
IFF-QB00077,GHS08
IFF-QB00039,GHS07
IFF-QB00039,GHS08
IFF-QB00001,GHS07
IFF-QB00001,GHS08
BSF-QB00001,GHS05
BSF-QB00001,GHS08
BSF-QB00001,GHS09
IFF-QB00182,GHS07
IFF-QB00182,GHS08
IFF-QB00236,GHS07
IFF-QB00236,GHS08
IFF-QB00183,GHS07
IFF-QB00183,GHS08
IFF-QB00230,GHS07
IFF-QB00230,GHS08
IFF-QB00230,GHS09
LUB-QB00008,GHS08
LUB-QB00013,GHS08
LUB-QB00017,GHS05
LUB-QB00017,GHS09
LUB-QB00020,GHS07
LUB-QB00024,GHS07
LUB-QB00025,GHS07
IFF-QB00232,GHS07
IFF-QB00232,GHS08
IFF-QB00040,GHS07
IFF-QB00040,GHS08
IFF-QB00078,GHS07
IFF-QB00041,GHS07
IFF-QB00041,GHS08
ASH-QB00072,GHS09
VAR-QB00037,GHS05
VAR-QB00037,GHS09
IFF-QB00079,GHS07
IFF-QB00079,GHS08
IFF-QB00131,GHS07
IFF-QB00131,GHS08
IFF-QB00132,GHS07
IFF-QB00132,GHS05
IFF-QB00132,GHS08
IFF-QB00080,GHS07
IFF-QB00080,GHS08
LUB-QB00027,GHS07
IFF-QB00081,GHS07
IFF-QB00081,GHS08
IFF-QB00081,GHS02
IFF-QB00002,GHS07
IFF-QB00233,GHS07
IFF-QB00233,GHS08
