product_id,chemical_name,cas_number,signal_word,emergency_phone,last_updated,needs_update,sap_matnr,sap_sync_date,is_active
AF00001,HINO/CHASIS CABINA 300-414,,,,2026-03-09 11:06:52,Y,AF00001,2026-03-09 11:15:47,Y
AF00002,HINO/CHASIS CABINA 300 514 LONG,,,,2026-03-09 11:06:52,Y,AF00002,2026-03-09 11:15:47,Y
AF00003,HINO 514 LONG,,,,2026-03-09 11:06:52,Y,AF00003,2026-03-09 11:15:47,Y
AF00004,HINO 300 LONG,,,,2026-03-09 11:06:52,Y,AF00004,2026-03-09 11:15:47,Y
AF00005,HINO 514 SEMI LONG,,,,2026-03-09 11:06:52,Y,AF00005,2026-03-09 11:15:47,Y
AF00006,HINO SERIE 300-816 LARGO,,,,2026-03-09 11:06:52,Y,AF00006,2026-03-09 11:15:47,Y
AF00007,HINO SERIE 300,,,,2026-03-09 11:06:52,Y,AF00007,2026-03-09 11:15:47,Y
AF00008,CR-V HONDA,,,,2026-03-09 11:06:52,Y,AF00008,2026-03-09 11:15:47,Y
AF00009,HONDA HRV,,,,2026-03-09 11:06:52,Y,AF00009,2026-03-09 11:15:47,Y
AF00010,RENAULT FLUENCE,,,,2026-03-09 11:06:52,Y,AF00010,2026-03-09 11:15:47,Y
AF00011,TOYOTA C-HR T. CVT,,,,2026-03-09 11:15:47,Y,AF00011,2026-03-09 11:15:47,Y
AF00012,YARIS BLANCO,,,,2026-03-09 11:15:47,Y,AF00012,2026-03-09 11:15:47,Y
AF00013,YARIS BLANCO,,,,2026-03-09 11:15:47,Y,AF00013,2026-03-09 11:15:47,Y
AF00014,YARIS BLANCO,,,,2026-03-09 11:15:47,Y,AF00014,2026-03-09 11:15:47,Y
AF00015,GOL BLANCO,,,,2026-03-09 11:15:47,Y,AF00015,2026-03-09 11:15:47,Y
AF00016,SAVEIRO ROBUST,,,,2026-03-09 11:15:47,Y,AF00016,2026-03-09 11:15:47,Y
AF00017,UP MOVE,,,,2026-03-09 11:15:47,Y,AF00017,2026-03-09 11:15:47,Y
AF00018,VENTO ROJO,,,,2026-03-09 11:15:47,Y,AF00018,2026-03-09 11:15:47,Y
AF00019,YAMAHA  ROJA,,,,2026-03-09 11:15:47,Y,AF00019,2026-03-09 11:15:47,Y
AF00020,YARIS SD CORE CVT,,,,2026-03-09 11:15:47,Y,AF00020,2026-03-09 11:15:47,Y
AF00021,YARIS SD CORE CVT,,,,2026-03-09 11:15:47,Y,AF00021,2026-03-09 11:15:47,Y
AF00022,YARIS,,,,2026-03-09 11:15:47,Y,AF00022,2026-03-09 11:15:47,Y
AF00023,HINO 514 LONG,,,,2026-03-09 11:15:47,Y,AF00023,2026-03-09 11:15:47,Y
AF00024,YARIS MONTERREY,,,,2026-03-09 11:15:47,Y,AF00024,2026-03-09 11:15:47,Y
AF00025,AIRE ACONDICIONADO,,,,2026-03-09 11:15:47,Y,AF00025,2026-03-09 11:15:47,Y
AF00026,AIRE ACONDICIONADO,,,,2026-03-09 11:15:47,Y,AF00026,2026-03-09 11:15:47,Y
