product_id,h_code
IFF-QB00122,H227
IFF-QB00122,H304
IFF-QB00122,H315
IFF-QB00122,H317
IFF-QB00122,H361
VAR-QB00002,H319
VAR-QB00001,H320
VAR-QB00001,H335
VAR-QB00001,H371
VAR-QB00001,H350
VAR-QB00005,H226
VAR-QB00005,H334
VAR-QB00005,H305
VAR-QB00005,H320
VAR-QB00005,H315
VAR-QB00005,H400
VAR-QB00006,H227
VAR-QB00006,H402
VAR-QB00007,H226
VAR-QB00008,H319
VAR-QB00009,H315
VAR-QB00158,H301
VAR-QB00158,H314
VAR-QB00158,H335
VAR-QB00157,H301
VAR-QB00157,H314
VAR-QB00157,H335
IFF-QB00318,H227
IFF-QB00318,H315
IFF-QB00318,H317
IFF-QB00318,H319
IFF-QB00318,H336
IFF-QB00318,H373
VAR-QB00011,H301
VAR-QB00011,H305
VAR-QB00011,H314
VAR-QB00011,H315
VAR-QB00011,H318
VAR-QB00011,H402
KAO-QB00015,H318
KAO-QB00016,H318
KAO-QB00017,H319
VAR-QB00013,H228
VAR-QB00013,H302
VAR-QB00013,H315
VAR-QB00013,H319
VAR-QB00013,H335
VAR-QB00016,H302
VAR-QB00016,H313
VAR-QB00016,H315
VAR-QB00016,H402
VAR-QB00017,H302
VAR-QB00017,H315
VAR-QB00017,H318
VAR-QB00017,H335
VAR-QB00017,H402
VAR-QB00018,H302
VAR-QB00018,H318
VAR-QB00018,H320
VAR-QB00018,H401
VAR-QB00018,H412
VAR-QB00020,H302
VAR-QB00020,H313
VAR-QB00020,H315
VAR-QB00020,H318
VAR-QB00020,H402
VAR-QB00021,H302
VAR-QB00021,H313
VAR-QB00021,H315
VAR-QB00021,H318
VAR-QB00021,H402
KAO-QB00019,H315
KAO-QB00019,H318
IFF-QB00123,H227
IFF-QB00123,H317
IFF-QB00123,H319
IFF-QB00123,H361
IFF-QB00124,H315
IFF-QB00124,H317
IFF-QB00124,H319
IFF-QB00124,H361
KAO-QB00022,H302
KAO-QB00022,H314
KAO-QB00022,H318
KAO-QB00022,H400
KAO-QB00022,H410
KAO-QB00024,H302
KAO-QB00024,H330
KAO-QB00024,H318
KAO-QB00024,H411
IFF-QB00176,H315
IFF-QB00176,H317
IFF-QB00176,H319
IFF-QB00176,H361
ASH-QB00065,H319
IFF-QB00125,H317
IFF-QB00125,H361
IFF-QB00072,H227
IFF-QB00072,H317
IFF-QB00072,H319
IFF-QB00072,H361
ASH-QB00085,H411
IFF-QB00218,H315
IFF-QB00218,H317
IFF-QB00218,H319
IFF-QB00218,H361
