product_id,chemical_name,cas_number,signal_word,emergency_phone,last_updated,needs_update,sap_matnr,sap_sync_date,is_active
IFF-QB00122,1181-D MENTA,Mezcla,PELIGRO,01 800 002 1400,2025-10-14 00:00:00,,,,Y
VAR-QB00002,ABRILLANTADOR OPTICO LIQUIDO,No aplicable,ATENCION,01 800 002 1400,2025-12-02 00:00:00,,,,Y
VAR-QB00001,ABRILLANTADOR OPTICO POLVO,13463- 67- 7,PELIGRO,01 800 002 1400,,SOLICITAR HDS ACTUALIZADA MILLKEM,,,Y
VAR-QB00003,ACEITE DE CASTOR HIDROGENADO S/P,61788-85-0,No Aplicable,01 800 002 1400,2025-11-25 00:00:00,,,,Y
VAR-QB00004,ACEITE DE COCO RBD S/P,8001-31-8,No Aplicable,01 800 002 1400,2025-10-21 00:00:00,,,,Y
VAR-QB00005,ACEITE DE PINO Y55,Mezcla,PELIGRO,01 800 002 1400,2025-10-21 00:00:00,,,,Y
VAR-QB00006,ACEITE MINERAL QB 85,8042-47-5,ATENCION,01 800 002 1400,2025-11-25 00:00:00,,,,Y
VAR-QB00007,ACETATO DE ISOAMILO S/P,123-92-2,ATENCION,01 800 002 1400,2025-10-21 00:00:00,,,,Y
VAR-QB00008,ACIDO CITRICO,77-92-9,ATENCION,01 800 002 1400,2025-10-23 00:00:00,,,,Y
VAR-QB00009,ACIDO ESTEARICO AE-5001 TRIPLE PRENSADO (COSMETICO),No aplicable,ATENCION,01 800 002 1400,2025-11-25 00:00:00,,,,Y
VAR-QB00010,ACIDO OLEICO QB ,No Aplicable,No Aplicable,01 800 002 1400,2025-10-21 00:00:00,,,,Y
VAR-QB00158,ACIDO POLIFOSFORICO 115% S/P,8017-16-1,PELIGRO,01 800 002 1400,2025-11-13 00:00:00,,,,Y
VAR-QB00157,ACIDO POLIFOSFORICO 117% S/P,8017-16-1,PELIGRO,01 800 002 1400,2025-11-13 00:00:00,,,,Y
LUB-QB00002,ACTIPHYTE BLUE AGAVE GL100NP,Mezcla,No Aplicable,01 800 002 1400,2025-10-21 00:00:00,,,,Y
IFF-QB00318,ACTIVE CARBON 423,Mezcla,ATENCION,01 800 002 1400,2025-10-14 00:00:00,,,,Y
VAR-QB00011,ADBS QB,Mezcla,PELIGRO,01 800 002 1400,2025-10-24 00:00:00,,,,Y
KAO-QB00015,AKYPO FOAM RL 40 S/P,33939-64-9,PELIGRO,+34 93 739 9445,2025-11-25 00:00:00,,,,Y
